	0	1	2	FoPHepN4_cfDNA_D10.chm13	FoPHepN1_cfDNA_D20.chm13	FoPHepN2_cfDNA_D10.chm13	FoPHepN1_cfDNA_D0.chm13	FoPHepN1_cfDNA_D10.chm13	FoPHepN4_cfDNA_D20.chm13	FoPHepN1_gDNA_D10.chm13	FoPHepN4_gDNA_D10.chm13	FoPHepN3_gDNA_D20.chm13	FoPHepN2_gDNA_D0.chm13	FoPHepN3_cfDNA_D10.chm13	FoPHepN3_cfDNA_D0.chm13	FoPHepN4_gDNA_D20.chm13	FoPHepN3_cfDNA_D20.chm13	FoPHepN1_gDNA_D0.chm13	FoPHepN2_gDNA_D20.chm13	FoPHepN4_gDNA_D0.chm13	FoPHepN2_cfDNA_D20.chm13	FoPHepN2_gDNA_D10.chm13	FoPHepN1_gDNA_D20.chm13	FoPHepN2_cfDNA_D0.chm13	FoPHepN4_cfDNA_D0.chm13
10	chr1	1624969	1625203	0.5222266667	0.729175	0.7588933333	0.9	0.7410230769	0.799325	0.96354375	0.5	0.6414375	0.8629375	0.78125625	0.85535625	0.7552125	0.9166666667	0.7270875	0.75601875	0.9642857143	0.77604375	0.734375	0.8366	0.84578125	0.84184375
11	chr1	1668505	1668618	0.65	0.5714285714	0.883	1	1	1	1	1	1	0.9047714286	0.9285571429	0.9404714286		0.8333333333	0.9642857143	0.7248285714	1	0.7642857143	0.9	0.9166714286	0.9009857143	0.9319714286
12	chr1	1997310	1997622	0.8177125	1	0.9583375	1	0.6927125	0.8881375		0.9583375	0.96614375	1	0.90625625	0.95646875	0.984375	0.87500625	0.946875	0.9875	1	0.93750625	0.98065	0.95885625	0.99305625	0.8935875
13	chr1	1997626	1998519	0.6611148148	0.8666666667	0.9231823529	0.9545454545	0.83073125	0.877084375	0	0.9754911765	0.9223	0.9362794118	0.8647088235	0.9531147059	0.9730411765	0.8431411765	0.9779411765	0.8897029412	1	0.7970617647	0.9574147059	0.9477382353	0.9518058824	0.9242424242
14	chr1	2469577	2469763		1	0.5555666667	0.75	1	0.75	0.83335	0.914275	1	1	0.875	0.955775	0.916675	0.908325	0.85	1	1	0.95	0.892825	0.975	0.89395	1
15	chr1	2673240	2674074	0.65	0.6333333333	0.8168666667	0.9639675676	0.7851378378	0.6459864865	0.9391918919	0.6764705882	0.6211675676	0.9774783784	0.8758378378	0.9669513514	0.5961914286	0.6273166667	0.9927594595	0.6031055556	0.8783810811	0.5856444444	0.8472222222	0.8278891892	0.9440297297	0.9497189189
16	chr1	2898261	2898426	0.7407444444	0.9	0.96333	1	0.7685222222	0.89	1	1	1	0.975	0.95	0.9346	1	1	0.97142	1	0.93833	0.88334	1	0.98889	0.965	0.97889
17	chr1	2898429	2898943	0.8875893617	0.953125	0.9188434783	0.9743596154	0.6428571429	0.9150634615	0.9961538462	0.9935903846	0.9730769231	0.8807215686	0.9576942308	0.9800903846	0.9902	0.9468085106	0.9929480769	0.9684057692	0.9637807692	0.90545	0.9884615385	0.9938038462	0.9892096154	0.9529211538
18	chr1	2929567	2929813	0.08333333333	0.1249916667	0.15	0.2916666667	0.1428571429	0.2576923077	0.09166	0	0.07575454545	0.1666555556	0.15	0.3251384615	0.1272727273	0.125	0.2486166667	0.09325833333	0.1363636364	0	0.03076923077	0.2647083333	0.4278230769	0.3733846154
19	chr1	3039180	3040239	0.02850921053	0.05847894737	0.04419090909	0.06862745098	0.04310344828	0.06283783784		0.05456575342	0.08155957447	0.09375	0.03490117647	0.07291666667	0.05354574468	0.0462962963	0.06776354167	0.02434494382	0.05303030303	0.01461929825	0.08903972603	0.08948333333	0.07029058824	0.06683854167
20	chr1	3313101	3313361	0.1	0.23	0.08333	0.25	0.05555555556	0.09333	0.16334	0.05333	0.10179	0.2144	0.16667	0.13144	0.0708	0.075	0.13333	0.06286	0.07333	0.08332857143	0.08929	0.24	0.1494	0.07266
21	chr1	3369861	3369933	0.25		0.25	0.45835	0.375	0.2875	0.1666666667		0.3	0.4875	0.458325	0.397225	0.3139	0.291675	0.68335	0.3125	0.25	0	0.4375	0.362125	0.31945	0.528575
22	chr1	5473959	5474112	0.5	0.8611166667	0.66666	1	1	0.06666	0.8361166667	0.9	0.08333333333	1	0.8916666667	0.9697	0.1795666667	0.23	0.6666666667	0.8333333333	0.94445	0.8	0.875	0.3742166667	1	0.94445
23	chr1	5876162	5876310	0.625	0.7	0.8	1	0.80002	1	1	1	0.92	1	0.97142	0.95962	1	1	1	1	1	1	1	0.95778	0.89784	1
24	chr1	5949057	5949597	0.2380928571	0.225	0.1184263158	0.105	0.1798157895	0.125	0.175		0.104165	0.14583	0.15083	0.200605	0.229165	0.1	0.1764705882	0.09923	0.17708125	0.2617588235	0.247505	0.09561578947	0.249005	0.15283
25	chr1	6001280	6001447	0.1041625	0.03703333333	0.2857142857		0.1851777778	0.1666666667	0.3333333333	0.2037	0.08764444444	0.1777666667	0.2666666667	0.2527777778	0.09643333333	0.1388888889	0.2138111111	0.2312222222	0.1111111111	0.06428571429	0.1666666667	0.08532222222	0.3893444444	0.1243333333
26	chr1	6107847	6107905	0.458325	0.666675	1	0.75	1	0.625	0.750025	1	0.875	0.916675	1	0.927275		1	1	0.825	0	0.3333333333	0.95	0.304175	0.9375	1
27	chr1	6489063	6489285	0.5		0.8333375		0.916675	0.3214285714	0.8541625	0.5	0.354175	1	0.85	0.9327375	0.4520875	0.34375	0.9541625	0.38125	0.8757375	0.4708375	0.5416625	0.5377	0.96875	0.8958375
28	chr1	7283943	7284109	0	0	0	0.16666	0.06666	0	0	0	0	0	0.10714	0.15022	0.02858	0.2	0.18	0	0.14722	0	0	0	0.28	0
29	chr1	7629129	7629221		0	0.5111		1	0	0.08333333333	0.4444333333	0.1666666667	0.8968	0.5555666667		0.1111	0.1666666667	1	0	0.8222333333	0	0.2	0	1	1
30	chr1	7748177	7748757	0.016025	0.07142857143	0.04718727273	0.1345035088	0.04930625	0	0.1081818182	0	0.06890961538	0.1089952381	0.0625	0.1268907692	0.06515090909	0.05555555556	0.07802622951	0.01005689655	0.0652173913	0.06904833333	0.03041833333	0.1131131148	0.1209033898	0.1423359375
31	chr1	7844563	7844944	0.07142857143	1	0.9381	0.96667	0.925	0.75833	1	1	0.97639	0.98	0.975	1	1	0.9444444444	1	1	0.9444444444	0.8	1	1	0.97889	0.96904
32	chr1	8058974	8059854	0.02666666667	0.125	0.3333357143	0.4583333333	0.30610625	0.06666666667	0.1071428571		0.10850625	0.50000625	0.2857142857	0.4488	0.0625	0.17222	0.3072875	0.09375	0.45163125	0.059375	0.21354375	0.12083125	0.53045625	0.41251875
33	chr1	8214230	8214542	0.30555	0.5238	0.86666	0.7738142857	0.8571571429	0.75	0.8214285714	0.6904714286	0.7466	0.6617285714	0.85	0.9229	0.7210714286	0.5666666667	0.8571571429	0.5547571429	0.8071428571	0.6190571429	0.5714285714	0.6413142857	0.8768142857	0.9
34	chr1	8214575	8214927		0.3	0.61	0.82	0.86666	0.3	0.83334	0.7	0.41666	0.7	0.9	0.782	0.4754	0.6	0.73334	0.32192	0.91666	0.36666	0.6	0.6	0.785	0.73864
35	chr1	8411116	8411309	0.1041666667	0.1666666667	0.09090909091	0.075	0	0.1111083333	0.027775	0.05833333333	0.05555833333	0.1127166667	0.1041666667	0.027775	0.09721666667	0	0.08889166667	0.125	0.0875	0.04545454545	0.06111666667	0.04445	0.145475	0.07279166667
36	chr1	8527951	8528175	0.3809571429	0.7857142857	0.63334	0.9166666667	0.8119	0.2142857143	0.8571428571	0.1785714286	0.3480142857	1	0.8202857143	0.9433	0.3357142857	0	0.9761857143	0.1607142857	0.9714285714	0.1	1	0.1838428571	1	0.9795857143
37	chr1	8698023	8698199	0.2	0.3	0.9		1	0.06666	0.53334	0.7	0.26666	0.92	1	0.8997	0.81666	0.06666	0.96	0.51308	0.76666	0.43	0.77	0.1762	1	0.98182
38	chr1	8731151	8731430	0	0	0.2846153846	0.1212090909	0.2044214286	0.1904785714	0.27975	0.3047642857	0.10885	0.2857142857	0.1226142857	0.27555	0.2331714286	0.1653846154	0.2023785714	0.1071428571	0.2692307692	0.1733	0.13095	0.1120785714	0.2741071429	0.1995714286
39	chr1	9079171	9079280	0.4166666667	0.75	0.9166666667	1	1	0.9666666667	1	1	1	1	1	1	1	1	1	1		0.9166666667	0.8333333333	0.9666666667	0.952	0.8331166667
40	chr1	10019310	10019566	0.2	0.3	0.33334	0	0	0.3	0.3333333333	0.1	0.06666	0	0.2	0.28886	0	0.2	0.39334		0.1	0	0.1	0.13706	0.33334	0.30364
41	chr1	10218669	10218964	0.1388888889	0.56667	0.45167	1	0.8	0.55047	0.5	0.53501	0.60333	0.98	0.6111111111	0.92321	0.48333	0.4	0.975	0.44916	0.755	0.5185222222	0.45	0.48465	0.97857	0.92262
42	chr1	10410718	10411492	0.01092786885	0.04	0.0480220339	0.05	0.05952380952	0.04347826087	0.0234375	0.01724137931	0.04700606061	0.03921470588	0.07181323529	0.04380571429	0.02586206897	0.04523714286	0.04012407407	0.03911129032	0.0350877193	0.01851851852	0.02692307692	0.03235294118	0.07697536232	0.01814520548
43	chr1	10500409	10500657	0	0	0.09615384615	0.08333076923	0.090275	0.11	0.04762142857	0.1428571429	0.02314666667	0.3333357143	0.1190428571	0.1214466667	0.14666	0.07692307692	0.1166666667	0.01428571429	0	0.07142857143	0.09574666667	0.06666666667	0.1619	0.08832666667
44	chr1	10600732	10600862	0.1666666667	0.4	0	0	0.025	0.07142857143	0.2916625	0.4047571429	0.1428571429	0.2375	0.2806625	0.18145	0.2916625	0	0.2678625	0.2	0.2	0	0	0.25	0.3081875	0.1740125
45	chr1	11192928	11193156	0	0.1111111111	0.25	0.03846153846	0	0.02976428571	0.04898571429	0.2592555556	0.1481444444		0.1230769231	0	0.1369	0.06666	0.04762142857	0.1845214286	0.07142857143	0.14285	0.3076923077	0.0809	0.1288285714	0.06377857143
46	chr1	11193185	11193475	0.3	0.5595214286	0.60778	0.3833333333	0.5166666667	0.3988933333	0.4839666667	0.4999928571	0.68334	0.85	0.45072	0.52862	0.5888933333	0.3411066667	0.5099933333	0.6012733333	0.375	0.4514266667	0.7857142857	0.62628	0.6417266667	0.4783066667
47	chr1	11194778	11194872	0.1666625	0.25	0.5925777778	0.4629666667	0.06481111111	0.03571428571	0.2685111111	0.2963		0.333325	0.520825	0.2138888889	0.1666666667	0.077375	0.2592555556	0.2038444444		0.09258888889	0.208325	0.1842555556	0.3401111111	0.24375
48	chr1	11263690	11264129	0.3272727273	0.1940464286	0.3845214286	0.4166666667	0.3636363636	0.3648035714	0.2809464286		0.3191321429	0.3783962963	0.270864	0.3836857143	0.3858	0.2672814815	0.4297607143	0.2061703704	0.2839444444	0.075	0.327375	0.3159740741	0.4801071429	0.3743407407
49	chr1	11669115	11669286	0.1111		0.25	0.333325	0.625	0.25	0.208325	0	0.1389	0.27085	0	0.21825	0	0.083325	0.3125	0.20535		0.1125	0	0	0.31945	0.125
50	chr1	11710943	11711540	0.1428155172	0.186254386	0.2566657143	0.09090909091	0.1802385714	0.1933465753	0.2454545455	0.1979166667	0.2586971014	0.2289681159	0.2121212121	0.2103708333	0.1932376812	0.25	0.2788461538	0.1803492537	0.1992409091	0.2391304348	0.2303030303	0.2161942857	0.2623642857	0.2073478873
51	chr1	12022475	12022674	0.3333333333	0.3333333333	0.8958375	0.8125	0.916675	0.4375	0.8958375	0.8645875	0.5291625	0.8541625	0.90625	0.9653875	0.552075		1	0.352075	0.9392875	0.6250125	0.875	0.125	0.9875	0.948075
52	chr1	12954444	12954712	0.0625	0.1666666667	0.3703777778	0.3571428571	0.76666	0.3037111111	0.4259222222	0.7129666667	0.4518555556	0.2513222222	0.4185111111	0.2624444444	0.4999888889	0.1851777778	0.5129555556	0.4920777778	0.3037	0.3556	0.5555555556	0.4433222222	0.5807	0.4166666667
53	chr1	12959278	12959401	0.1666666667	0.05	0.25	0.3	0.125	0.0729125	0.3333375	0.15625	0.0416625	0.222925	0.25	0.21875	0.078125	0	0.11875	0.1762	0.125	0.1428571429	0.0416625	0.2025875	0.1666571429	0.239575
54	chr1	13402592	13402905	0.03703333333	0.2222222222	0	0.22333	0.07	0.1	0.12833	0.26666	0.1	0.21108	0.18333	0.24931	0	0.0625	0.2222222222	0.16805	0.13833	0.08666	0.1	0.09882	0.25333	0.18333
55	chr1	14970455	14970642			0		0.25555	0	0	0.03333333333	0.03333333333	0.1064	0.09625	0.125	0.1333333333	0.08333333333	0.1166666667	0.08333333333	0.1666666667	0.1666666667	0.05555	0.03333333333	0.1084666667	0.1780333333
56	chr1	15186131	15186382	0	0	0.1904714286	0.2357142857	0.5	0.1428571429	0	0.04761428571	0.04761428571	0.04444285714	0.05612857143	0.2	0.07142857143	0	0.3071428571	0	0.2193857143	0	0	0.02041428571	0.3348571429	0.2615714286
57	chr1	15595896	15596007	0.2	0.25	0.125	0.5		0.11334	0.5	0.36666	0.2	0.28334	0.25	0.3647	0.53334	0	0.38002	0.26666	0.32222	0.31666	0.51334	0.03334	0.36668	0.44278
58	chr1	15809994	15810272	0.5	0.5	0.62	0.5	0.35	0.25	0.33334	0.6	0.45	0.42	0.4	0.5348	0.63334	0.5	0.52	0.33526	0.57858	0.20666	0.54444	0.35444	0.68334	0.48404
59	chr1	16418821	16419050		0.48	0.13334	0.59334	0.39572	0.1	0.35714	0.25554	0.19568	0.43082	0.41532	0.4761	0.091675	0.33452	0.35	0.2117	0.40094	0.10938	0.22706	0.25092	0.37734	0.35454
60	chr1	16759617	16759767	0.575	0.94445	0.9722166667	1	0.6000166667	1	1	1	0.9583333333	0.9722166667	1	0.9814833333	0.9761833333	0.875	1	0.9861166667	1	1	0.94445	0.9722166667	1	1
61	chr1	16870087	16870420	0	0.083325	0.1	0.1		0.26666	0.1	0	0.05714	0.09	0	0.31238	0.06666	0.05	0.09524	0.08	0.05	0.06666	0.06666	0.15	0.20272	0.1
62	chr1	17048480	17048776	0	0	0	0.1		0.07575454545		0	0	0.07611818182	0	0.07067272727	0	0	0.1363636364	0.0606	0.04545454545	0	0.01515454545	0.0303	0.08181818182	0.1357545455
63	chr1	17394683	17394881	0.26668	0.5	0.6904714286		0.8625	0.5	0.5	0.5520875	0.2083375	0.9375	0.9363	0.9791625	0.370825	0.1428571429	0.9375	0.21875	0.9571375	0.4583375	0.36565	0.3614625	0.964275	0.8743125
64	chr1	17395724	17395857	1		0.4		0.625	0.04763333333	0.25	0.9	0.55	0.9375	0.758025	1	0.166675	0	0.928575	0.25	0.964275	0	0.464275	0.0147	0.95995	0.964275
65	chr1	17396492	17396602	0.15	0	0.183325		0.558325	0.25	0.125	0.7869	0	0.875	0.94445	0.92855	0.083325	0.58335	0.875	0.125	0.766075	0	0.3271	0	0.8869	0.933025
66	chr1	17884874	17884964		0.125	0.6875		1	0	0	0.5	0.714275	0.85415	1	0.9365	0	0.757425	1	0.491675	0.958325	0.375	0.375	0.194425	0.95	1
67	chr1	17920692	17920888	0	0.04761428571	0.15625	0.125	0.1428571429	0.08333333333	0.16875	0.0625	0	0.2708375	0.15	0.142525	0.1458375	0	0.197925	0.1916625	0.0875	0.12425	0.0607625	0.0763875	0.2	0.1553625
68	chr1	18050841	18051282	0.4375	0.6666666667	0.9285714286	0.5833375	0.78125	0.525	0.875	0.8529625	0.645375	0.9285714286	0.7395875	0.9007	0.7	0.6562625	0.766675	0.78125	0.489575	0.4166625	0.7886625	0.8788625	0.675	0.802825
69	chr1	18453314	18453655	0.09090909091	0.0416625	0.1782	0.2692307692	0.04359230769	0.2555583333	0.1218	0.275	0.2071461538	0.1038461538	0.2480769231	0.1278384615	0.1978	0.1666615385	0.2243538462	0.1948769231	0.1091	0.2205153846	0.08150769231	0.2283692308	0.1512461538	0.1307692308
70	chr1	18454065	18454680	0.7175944444	0.8333368421	0.7396631579	0.75	0.7377263158	0.6167315789	0.4117647059	0.8763157895	0.8538736842	0.3850842105	0.8447421053	0.9009263158	0.7324473684	0.75	0.8438526316	0.9649105263	0.6191684211	0.7631578947	0.5644105263	0.7974736842	0.8394105263	0.9175473684
71	chr1	18456313	18456508	0	0.02380714286	0.0125	0.03571428571	0.1333333333	0		0.075	0.11770625	0.03888666667	0	0.08125	0.03333333333	0.0178625	0.240625	0.01041875	0.0178625	0.02380714286	0	0.1567466667	0.069425	0.08793333333
72	chr1	18458124	18458609	0.4928571429	0.25	0.2976142857	0.208325	0.5	0.41666	0.8571428571	0.409225	0.6375	0.7	0.346125	0.36485	0.602175	0.4791625	0.4643	0.4229125	0.2389875	0.4249875	0.47915	0.7690375	0.5288875	0.490925
73	chr1	18640827	18641179	0.03333	0.1	0.02222222222	0.11666	0.05	0.08333333333	0.11	0.11	0.05667	0.12869	0	0.21595	0.115	0	0.2	0.025	0.075	0.0458375	0.06667	0.09777	0.2856	0.17926
74	chr1	18769487	18769618	0.9166666667	0.25	0.85	1	0.6666666667	0.16665	0.9166666667	0.2	0.66865	0.9166666667	0.8361166667	0.70825	0.7519833333	0.75	0.7871166667	0.8246	0.9166666667	0.7222333333	0.51945	0.7374333333	0.8703666667	0.7869
75	chr1	18889370	18889447		1	0.95		0.83334	1	0.5	1	1	1	1	1	1	0.6666666667	1	1	1	0.9	1	1	0.98	0.86
76	chr1	19074388	19076022	0.02619	0.01395348837	0.03333333333	0.01054622642	0.008045977011	0.01041666667	0.01060545455	0.02736842105	0.01680576923	0.03236213592	0.02916538462	0.01799158879	0.02556601942	0.008864893617	0.02491340206	0.01061553398	0.02643518519	0.02195480769	0.02395566038	0.0197712963	0.03078962264	0.02139626168
77	chr1	19977300	19977365	0.3333333333	0.8333333333	0.7	1	0.6111	0.9166666667	0.5666666667	1	0.9444333333	1	0.8333333333	0.6894	0.6666666667	0.9166666667	0.8968		1	1	0.6666666667	0.7746	0.891	0.8592666667
78	chr1	19978127	19978313	0.6142857143		0.75	1	1	0.5625	0.89375	0.3333333333	0.667675	1	0.8174	0.9645875	0.5729125	0.3333333333	0.8520875	0.1428571429	1	0.354175	0.4285714286	0.45	0.9458875	0.916425
79	chr1	22081094	22081363	0	0	0.65	0.56668	0.4	0	0.13334		0.1	0.83334	0.25	0.73128	0.13334	0	0.88334	0.03334	0.51666	0		0.03334	0.75016	0.80952
80	chr1	22244123	22244421	0.2	0.13332	0	0.13334	0.75	0.08333333333	0.3	0.2444333333	0.05555	0.1777833333	0.2777666667	0.2528333333	0.04166666667	0.26668	0.2143	0.18255	0.04166666667	0.43055	0.1277833333	0.2432666667	0.26985	0.21295
81	chr1	22467081	22467356	0	0.1439363636	0.06667	0.07142857143	0.2	0	0.1666666667	0	0.01299090909	0.04545454545	0.0303	0.1343545455	0		0.0606	0.02517272727	0.09090909091	0.01299090909	0.0303	0.1047545455	0.1803090909	0.1454545455
82	chr1	23258630	23259590	0.04285714286	0.01470588235	0.08897384615	0.1051292308	0.07004637681	0.03529411765	0	0	0.02880617284	0.1171819277	0.02755394737	0.1462522727	0.01054810127	0.02777777778	0.0780746988	0.04563452381	0.01893939394	0	0.023332	0.03086419753	0.1337939024	0.08072235294
83	chr1	23607221	23607416	0	0.09522857143	0.08333333333	0	0.07142857143	0.07142857143	0	0	0	0.05952857143	0.1190428571	0.1550428571	0.1142857143	0.04761428571	0.1142857143	0.07142857143	0.1571428571	0	0	0.05714285714	0.1405857143	0.02857142857
84	chr1	24229702	24229920	0		0.1666571429	0.2375	0.09522857143	0	0.07142857143	0.0729125	0	0.1785714286	0	0.2290375	0.1666666667	0	0.2154	0	0.125	0.07142857143	0.1041625	0.0451375	0.25915	0.1923125
85	chr1	24394093	24394806	0.01041666667	0.05555333333	0.04251632653	0.1612903226	0.04858085106	0.06697592593	0.09268571429	0.1304347826	0.04242363636	0.08536585366	0.05434782609	0.1544210526	0.04226603774	0	0.08576181818	0.05431320755	0.04528913043	0.02962888889	0.08333333333	0.030332	0.08332909091	0.06303090909
86	chr1	24419304	24419389		1	1	0.6666666667	0.9444333333	0.7222333333	1	1	0.8584333333	1	0.6666666667	0.9514	1		0.9166666667	1	1	0.6111333333	1	0.9166666667	1	0.9583333333
87	chr1	24480270	24480544	0.3	0.4166571429	0.28645	0.3717923077	0.2222133333	0.4166625	0.7272727273	0.3520875	0.553125	0.159375	0.4419625	0.34330625	0.2604125	0.3385375	0.21205625	0.1743875	0.1958375	0.6363636364	0.45556	0.278125	0.18229375	0.484375
88	chr1	24937823	24938015	0.1666666667	0	0.03333333333	0.4	0.15	0	0.1388833333	0.05555	0	0	0	0.1210333333	0		0.2472166667	0	0.1583333333	0.08333333333	0	0.06615	0.2	0.06666
89	chr1	25268276	25268457	0.375	0.25	0.291675	0.5	0.25		0.4375		0.270825	0.447725	0.375	0.27975	0.416675	0.208325	0.516675	0.216675	0.416675	0.25	0.4369	0.125	0.413675	0.258325
90	chr1	25761221	25761286	0	0	0	0	0.23125	0	0	0	0	0	0.1875	0.125275	0	0	0.1766	0.20715	0.208325	0	0	0	0.0635	0.145825
91	chr1	25883012	25883885	0.1021313953	0.1	0.0837988764	0.1276511364	0.07831204819	0.1074135417	0.1095890411	0.0612244898	0.1069938272	0.1306333333	0.1540077778	0.1767270833	0.01886792453	0.1387629213	0.1315778947	0.04268292683	0.0842908046	0.1024908046	0.0703045977	0.1044648936	0.185975	0.09792934783
92	chr1	26201398	26201535	0.0625	0.08333333333	0.125	0.1590909091	0.06818181818	0.0833375	0.065275	0.097225	0.08333	0.1055583333	0.125	0.1882833333	0.05	0.2	0.07639166667	0.1666666667	0.08333333333	0.05	0.1194416667	0.1581545455	0.1305583333	0.08333333333
93	chr1	26515343	26515858		0	0.1666666667	0.4	0.3714285714	0.4305333333	0.43055	0.2452428571	0.4047571429	0.75	0.425	0.5227285714	0.4583333333	0.2238142857	0.4	0.3071428571	0.4190571429	0.3416666667	0.4595142857	0.3690428571	0.5214142857	0.4186714286
94	chr1	26624785	26625187	0.2638833333	0.4285714286	0.3333285714	0.09721666667	0.1666666667	0.2857142857	0.2214285714	0.2222166667	0.25	0.2185428571	0.2	0.2418285714	0.2023857143	0.1428571429	0.3	0.3095285714	0.5	0.1190428571	0.3381	0.1238	0.1490428571	0.2595285714
95	chr1	26625202	26627391	0.0569097561	0.1128178082	0.08850574713	0.07371030928	0.09085365854	0.0987654321	0.1501739583	0.1401511364	0.1198969388	0.1290795918	0.07209775281	0.1059696078	0.1192765957	0.1020765957	0.1309794118	0.07397959184	0.09387011494	0.09558192771	0.129340625	0.1187135417	0.1477851485	0.1143090909
96	chr1	26703760	26703941	0.5529307692		0.5358923077	0.7384615385	0.6923076923	0.5576923077	0.9166666667	0.5769230769	0.3282076923	0.8076923077	0.6855307692	0.6549461538	0.7692307692	0.3333333333	0.5128230769	0.4976230769	0.5040307692	0.3705076923	0.5152923077	0.8615923077	0.5897076923	0.5954846154
97	chr1	26751074	26751474	0.94445		0.9791666667	1	0.6139	0.93334	1	0.9791666667	0.94445	0.9722166667	0.69445	1	1	1	0.85715	0.9666666667	1	1	1	1	0.9276666667	1
98	chr1	27198807	27199032	0	0	0	0	0	0.08333333333	0	0.07142857143	0.03736153846	0.07692307692	0	0.05159230769	0	0.03846153846	0.1217923077	0.05576923077	0.1153846154	0.0641	0.01923076923	0	0.01923076923	0.01923076923
99	chr1	27330488	27331967	0.01025538462	0.2013875	0.075	0.06314507042	0.08427183099	0.03472222222	0.101112	0.09239130435	0.02083333333	0.08375	0.07681818182	0.095395	0.026888	0.03107288136	0.08438441558	0.04430506329	0.06798289474	0.05660862069	0.06710933333	0.02847088608	0.05729090909	0.08738846154
100	chr1	27369836	27369967	0.05555555556	0.5	0.1916666667	0.1425888889	0.3425777778	0.2222222222	0.2777777778		0.2870222222	0.2963	0.1611111111	0.1413777778	0.1981555556	0.3555555556	0.1783444444	0	0.1111111111	0.1666625	0.1666666667	0.1240777778	0.3362555556	0.1829888889
