	0	1	2	FoPHepN4_cfDNA_D10.chm13	FoPHepN1_cfDNA_D20.chm13	FoPHepN1_cfDNA_D0.chm13	FoPHepN4_cfDNA_D20.chm13	FoPHepN1_cfDNA_D10.chm13	FoPHepN1_gDNA_D10.chm13	FoPHepN4_gDNA_D10.chm13	FoPHepN4_gDNA_D0.chm13	FoPHepN3_cfDNA_D10.chm13	FoPHepN2_gDNA_D0.chm13	FoPHepN4_gDNA_D20.chm13	FoPHepN3_cfDNA_D20.chm13	FoPHepN2_cfDNA_D0.chm13	FoPHepN2_gDNA_D10.chm13	FoPHepN1_gDNA_D0.chm13	FoPHepN2_cfDNA_D20.chm13	FoPHepN3_gDNA_D20.chm13	FoPHepN4_cfDNA_D0.chm13	FoPHepN2_gDNA_D20.chm13	FoPHepN2_cfDNA_D10.chm13	FoPHepN1_gDNA_D20.chm13	FoPHepN3_cfDNA_D0.chm13
28	chr1	150693761	150693903	0.875	0.5	0.833325	0.866675	0.595825	1	1	1	0.75	1	0.9375	1	0.958325	0.9375	0.9375	0.4643	0.916675	0.94445	0.964275	1	0.858325	0.95645
29	chr1	154016967	154017026	0.8333333333		1		0.7389	0.7222333333		0.9166666667	0.75	0.8631	0.6666666667		0.8788	0.2639	0.8889	0	0.35	0.9166666667	0.1444333333	0.2777666667	0.05126666667	0.7924333333
30	chr1	161957730	161958016	0	0.08333333333	0.4722166667	0.1666666667		0.04166666667	0.08333333333	0.1222166667	0	0.1666666667	0	0.04761666667	0.3484833333	0.05555	0.3666666667	0	0.1269833333	0.2222166667	0.05416666667	0	0.06666666667	0.5033833333
31	chr1	178481503	178481684		0.8889	1	0.8889	0.7222333333	1	1	1	0.8222	1	1	0.8611	0.9722333333	1	1	0.7666666667	1	1	1	0.8333333333	0.8333333333	1
32	chr1	199333335	199333507			0.833325	0.8333333333	1	1	0.72085	0.75	1	1	0.70835	0.49465	0.96875	0.6625	0.964275	0.083325	0.875	0.9008	0.64605	0.733325	0.2125	0.935275
33	chr1	211133633	211133735	0.46666	0.4	0.96666	0.3	1		0.6	0.96666	1	1	0.6	0.6666666667	1	0.7095	1	0.75	0.55	0.93056	0.6459	0.8	0.22	0.9624
34	chr1	211167114	211167463	0.6666666667		0.75	0.65	0.499975	1	1	0.9583333333	0.9523666667	0.9166666667	1	0.8916666667	0.9060666667	1	0.9814833333	0.875	1	0.9530333333	1	1	0.9576666667	0.92095
35	chr1	213217053	213217258	0.083325	0	0.0625	0.1666666667	0	0.3125	0.25	0.183325	0	0.29165	0.15	0.25	0.277775	0.175	0.225		0.160725	0.277775	0.125		0.125	0.4125
36	chr1	213679021	213679217	0	0	0.6375	0	0.5625	0	0.1291625	0.5416625	0.125	0.43125	0.0416625	0	0.646875	0	0.6545	0	0.3708375	0.5628	0.0625	0.1979125	0	0.582425
37	chr1	223646420	223646594		0	0.333325	0		0	0	0.15	0	0.102675	0	0.11905	0.1875	0.1	0.2125	0	0.145825	0.222525	0	0	0	0.2097
38	chr1	223922118	223922370	0.6666666667	0.625	0.541675		0.604175		1	0.8125	0.758325	0.666675	0.5	0.25	0.78885	0.560725	0.783325	0.50595	0.875	0.723225	0.179175	0.6666666667	0.098225	0.785725
39	chr1	224633303	224633478	0.6666666667	1	0.875	0.916675	0.625	0.833325	0.8375	0.875	0.666675	0.916675	0.875	0.691675	0.9132	0.875	0.6625	1	1	0.964275	0.958325	0.9	0.9375	0.901775
40	chr1	225035530	225035667	0.8333333333	0.8333333333	0.9166666667	0	0.8055666667		0.9333333333	0.9444333333	0.6666666667	0.9666666667	0.2055666667		0.9743666667	1	0.8777666667	0.6666666667	0.5555666667	0.9444333333	0.2333333333	1	0.1944333333	0.9595666667
41	chr1	229484287	229484597	0.375	0.2666666667	0.575	0.175	0.6296333333	0.05	0.75	0.38166	0.68571	0.625	0.26167	0.29334	0.76149	0.54682	0.73501	0.5925888889	0.3888888889	0.69139	0.09621	0.16666	0	0.73089
42	chr1	229565496	229565929	0.35		0.2375	0.125	1	0	0.25	0.5	0.3738	0.33125	0.0625	0.0729125	0.36875	0.1333285714	0.3125	0	0.2916625	0.4747	0.09305	0.3020875	0.03125	0.46495
43	chr1	234348750	234349044	0.2777666667	0.6190428571	0.5	0.4047571429	0.4	0.2738142857	0.3571428571	0.2190428571	0.2142857143	0.3833428571	0.4966	0.3408285714	0.4983	0.3918428571	0.4166714286	0.3888833333	0.4353857143	0.3447857143	0.2440428571	0.3714285714	0.4880857143	0.5360428571
44	chr1	234351815	234351915	0.46666	0.6	1	0.75	0.63334	0.8333333333	1	0.8345	0.75334	0.90476	0.82898	0.93334	0.87976	0.78	0.86		0	0.83278	0.57334	0.85	0.80334	0.935
45	chr1	235471264	235471335	0.791675		1	0.875	0.854175	0.9375	1	1	0.958325	1	1	0.91875	0.980775	1	1		0.928575	1	1	0.75	1	0.94505
46	chr1	246006500	246006755	0.66665	0.8889	1	0.458325	0.875	1	1	0.83335	0.9375	1	0.390475	0.6375	0.979175	0.75	0.886875	0.41665	0.175	1	0.25	0.854175	0.325	0.91875
47	chr2	2007567	2007765	0.8333333333		1	0.6222333333	0.8333333333	0.208325	0.8125	1	0.83335	1	0.5625	1	0.9375	0.791675	1	0.520825	0.5491	1	0.6726	0.7777666667	0.621425	0.9391
48	chr2	8150208	8150447	0.79334		0.8333333333	0.7	0.8833333333	1	0.9666666667	1	1	1	0.375	0.8889	1	0.9166666667	0.96945	0.6666666667	0.43055	1	0.6472166667	1	0.4611166667	0.9227333333
49	chr2	8657532	8657634	0.125		1	0	0.125	0.3333333333	0	1	1		0	0.54165	1	0	1	0	0.0625	0.847325	0.102775	0	0	0.804175
50	chr2	10430729	10430933		1	1	0.47915	0.475	0.666675	0.208325	1	0.666675	1	0.083325	0.375	1	0.583325	0.854175	0.6666666667	0	0.739275	0.39585		0	0.885525
51	chr2	10860319	10860536		1	0.75	0.9375	0.25	1	1	0.854175	1	0.95	1	0.75	0.95455	0.916675	0.916675	0.9375	1	0.972225	0.96875	0.9	0.964275	0.95835
52	chr2	11421110	11421248	0.8333333333		1	0.1666666667	0.6666666667	0.69445	0	1	0.7083333333	1	0.5	0.75	0.95535	0.55965	1	0.3389	0.1666666667	0.9439833333	0.4595166667	0.2083333333	0.1388833333	0.9041666667
53	chr2	17795287	17795951	1	0.4	1	0.729175	0.866675	0.854175	1	1	0.9166666667	0.95	0.8125	0.7395875	0.971875	1	0.9791625	0.90625	0.675	1	0.875	1	0.5104125	0.8614625
54	chr2	20230297	20230533	0.358325	1	0	0.75	0.9285714286	0.9642857143	0.75	0.8826571429	0.7916714286	0.7748285714	1	1	0.9642857143	0.9285714286	1	0.6119142857	0.9285714286	0.9026	0.9523857143	1	0.8809571429	0.9557714286
55	chr2	20670528	20670626		0.8333333333	1	1	0.5555666667	1	1	1	1	1	1	0.9444333333	1	1	1	0.8889		1	0.9166666667	1	1	1
56	chr2	28377316	28377420	1	1	1	0.86668	0.86668	1	1	1	1	0.8	0.97142	0.93334	0.95278	0.97142	1	0.93334	0.85474	1	0.96	0.93334	0.97778	0.92112
57	chr2	28665306	28665480	0	0.1666666667		0.5	0.46666	0.1111	0.2222166667	0.8333333333	0.2	0.6472166667	0	0.4722166667	0.7777833333	0.09028333333	0.94285	0.04166666667	0.04166666667	0.7887	0	0.2222166667	0	0.7718333333
58	chr2	38692621	38692711	0.63334	1	1	0.785	0.73334	0.83334	0.95	1	1	0.88332	0.81668	0.39998	0.91892	0.73334	1	0.93334	0.85	1	0.9	1	0.26332	0.93278
59	chr2	42353697	42353847	0.1666666667	0.2222	1	0	0.6666666667	0.4444333333	0.6666666667	0.7777666667	1	1	0	0.6111333333	1	0.4722333333	1		0.0893	1	0.08333333333	0.6666666667	0.08333333333	0.9618666667
60	chr2	43163665	43164019	1	0.1	1	0.625	0.1		1	0.9795857143	0.8785714286	0.6414857143	0.3888833333	0.4761857143	0.9795857143	0.6976142857	0.8833285714	0.5071428571	0.6404714286	0.8100857143	0.7143	0.5547714286	0.03571428571	1
61	chr2	45943783	45944117	0.5125	0.04761428571	0.6666666667	0.2833285714	0.8333375	0.675	0.1428571429	0.8918625	1	0.8375	0.1458375	0.416675	0.9248375	0.975	0.885425	0.5395875	0.6982125	0.9375	0.3541625	0.8333333333	0.03125	0.9147875
62	chr2	46011938	46012254		0	0.95	0	0.56668	0.32666	0.22	1	0.89286	0.93778	0	0.06666	1	0.02222	0.86668	0.06666	0.17336	0.96	0.06816	0.55334	0.02	0.93778
63	chr2	47230547	47230700	0.5833333333		0.8889		1	0.6333333333	0.8333333333	1	1	1	0.03703333333	0.25	0.9523666667	0.7555666667	1	0.5555666667	0.3333	0.9583333333	0	1	0	1
64	chr2	48256617	48256731	0.6777666667	0.7777666667	1	0.4444333333	1	1	1	1	0.6944333333	1	1	0.8777666667	0.9444333333	0.9697	1	0.6666666667	0.8222	0.9444333333	0.9333333333	1	0.5404666667	0.9331333333
65	chr2	48421226	48421367			1	0.8333333333	0.8333333333	1	1	0.9166666667		0.9444333333	0.8889	0.3333333333	1	0.7555666667	0.8055666667	0.7778	0.5389	0.9666666667	1		1	0.9487333333
66	chr2	54606001	54606110		0.3333333333		0	1	0.5666666667	0.1777666667	0.6666666667	0.9166666667	1	0	0.3333333333	0.9166666667	0.3333333333	1		0.6666666667	1	0.04763333333	0.3833333333	0	0.9666666667
67	chr2	73045395	73045798	0.6	0.93334	0.8	0.3333333333	0.7	0.9	0.58334	0.95	1	0.93334	0.38334	0.9	0.955	0.59334	0.89642	0.66666	0.26666	0.96	0.34	0.625	0.19	0.921
68	chr2	85177572	85177839	0	0	0.3	0	0.26192	0.25	0	0.31	0.166675	0.28668	0	0.1	0.20954	0.13332	0.36668	0	0	0.25834	0.05834	0.17858	0	0.5199
69	chr2	85308975	85309162	1	0.6111166667	0.9166666667	0.3611166667	0.86668	0.4166666667	0.6111166667	1	1	1	0.48465	0.875	0.9625	0.8	0.9797833333	0.6670666667	0.75	0.9814833333	0.4111166667	0.9666666667	0.4875	0.9118333333
70	chr2	95812330	95812501		1	1		0.76668	0.6	0.7	0.9	0.96666	1	0.76	0.93334	0.97142	0.8	0.92666	1	0.77144	0.96	0.735	0.8	0.62222	0.91364
71	chr2	97327882	97328071	0.5	1	1	0.5	0.666675	0.9375	0.875	1	0.75	0.854175	0.625	0.72915	0.977275	0.916675	0.95			1	0.6625	1	0.82885	0.9643
72	chr2	113797464	113797583		0.04761428571	0.1944333333	0	0.07142857143	0	0.1156428571	0	0	0	0.1428571429	0	0	0	0.3190428571	0.2	0	0.02857142857	0.0368		0	0.2642857143
73	chr2	119922079	119922232	0.5555666667	0.6666666667	1		0.875	1		0.85	0.916675	0.9375	1	0.854175	0.925	1	0.875	0.95	0.8125	0.8125	0.95	0.791675	0.8869	1
74	chr2	120909368	120909491	0.8333333333	0.5	1	0.9027666667	1	1	1	1	0.9047666667	0.9166666667	1	1	0.8447	0.8666666667	1	0.6777666667	0.9333333333	0.8888666667	1	1	1	0.9444666667
75	chr2	128742346	128742502	0	0	0.7	0	0.7		0.1		0.28332		0	0.31666	0.80834	0	0.62	0.15668	0	0.97778	0	0.33332	0	0.85548
76	chr2	150575618	150575799	1	0.625	1	1		1	1	1	0.9375	1	0.9375	0.75	1	1	1	0.5	1	0.95	1	0.825	0.520825	0.874425
77	chr2	165168148	165168461	0.5	0	0.75	0.5714333333	1	0.7166666667	0.5583333333	1	0.291675	0.9791666667	0.08333333333	0.85	0.9523666667	0.7083333333	1	0.4166666667	0.29835	0.9523666667	0.8333333333	0.666675	0.2944333333	0.9686666667
78	chr2	168285421	168285786	0.6388833333	0.9	1	0.40555	0.8277833333	1	1	1	0.9583333333	1	0	0.3333333333	1	0.9583333333	1	0.3	0.1666833333	0.9576666667	0.3194333333	0.5555666667	0.1477833333	0.9277666667
79	chr2	174477609	174478112	0.8095285714	1	1	0.55555	0.885425	1	1	0.816675	0.78125	0.8802125	1	0.96875	0.85695	0.8035625	0.9642875	0.65	0.9285625	0.8958375	0.9613	0.9375	0.9583375	0.953125
80	chr2	208448222	208448307			1	0.7555666667	0.7333333333	0.3888666667		1	0.3611	1	0.4428666667	0.7222333333	0.9444333333	0.2050333333	0.9333333333	0.5333333333	0.4333333333	0.8194333333	0.8333333333	0.5333333333	0.6722333333	0.9043
81	chr2	218383209	218383323	0.4722166667	1		0.875	1	1	0.5	0.9722166667	1	0.8817333333	0.1666666667		0.88195	0.6666666667	0.7777666667	0.6111166667	0.06666666667	0.8333333333	0.20555	0.80555	0.575	0.9663333333
82	chr2	218383360	218383594	0.8889	0.8		0.63334	1	0.93334	0.75	0.96	0.9	0.95556	0.75	1	0.955	0.93334	0.87	0.85	0.76666	0.9346	0.775	0.96	0.59334	0.98182
83	chr2	223277430	223277534			1	0.4111	0.6944666667		1	1	1	0.9166666667	0.6111	0.3611	0.9166666667	1	1	0.8333333333	0.4166666667	0.9444333333	1	1	0.6	0.9722333333
84	chr2	223345539	223345615	0	0	0	0	0.3333333333	0.1666666667	0.1111	0	0.5	0.1666666667	0	0.1111	0.1666666667	0.2	0.1666666667	0.5	0.06666666667	0.1666666667	0	0.1666666667	0.08333333333	0.1068333333
85	chr2	227888782	227889357	0	0.3541625	0.6	0.04761428571	0.21875	0.19375	0.1041625	0.2083375	0.3208375	0.4285714286	0.05	0.2395875	0.4732125	0.1428571429	0.40625	0.375	0.2166625	0.3928625	0.2958375	0.3125	0.1927125	0.471225
86	chr2	231532319	231532380			1	0.8333333333	0.6111	1	1	1	0.8888666667	1		0.8055666667	1	0.7222333333	0.9583333333	0.6166666667	0.5	1	0.9027666667		0.9047666667	1
87	chr2	232186620	232186678		0.3333333333	1	0.7389	0	1	1	1	1	0.8333333333	1		1	0.8333333333	1	1	0.9166666667	0.9213	1	0.9166666667	0.7047666667	0.9697
88	chr2	235369845	235369919	0.3333333333		1	0	0.9166666667	0.3333333333	0.7778	1	0.9333333333		0		1	0.6666666667	1	0.1666666667	0.05556666667	0.9523666667	0.2222	1	0	0.9569333333
89	chr2	237219554	237219741	0.1666666667	0	1	0	1	0.54165	0.625	1	1	1	0.0625	0.27025	1	0.254475	0.9132	0	0	1	0.125	0.916675	0	1
90	chr2	237310924	237311253	0.8333333333		1			1	1	1	0.9523666667	1	0.9166666667	0.8333333333	1	0.9333333333	1	0.8888666667	1	1	0.3809666667	0.7778	0.8111	1
91	chr2	238071668	238071743				0.6		0.1944333333	1	0.1666666667	0.3333333333	0.9166666667	0.7936666667	0.2222	0.8916666667	0.7777666667	0.6666666667	0.3333333333	0.7777666667	0.5952333333	0.4285666667	0.8889	0.3889	0.8518666667
92	chr2	238159839	238159947		0.4333333333	1	0.8333333333	0.5206333333	0.25	0.8452333333			0.8886833333	0.73055	0.9166666667	0.89815	0.7529666667	1	0.7222333333	0.7527666667	0.85315	0.5	0.79445	0.9166666667	0.9511833333
93	chr2	241460767	241461119	0.4479125	0.858335	0.8875	0.74154	0.865	0.975	0.9025	0.9386	0.808335	0.92452	0.35	1	0.909005	0.797475	0.933335	0.816665	0.408335	0.9244	0.7132	0.95	0.544285	0.944825
94	chr2	242399765	242399992			1	0.404175	0.8875	0.666675	0.7125		0.750025	1	0.333325	0.625	0.972225	0.583325	1	0.3125	0.34375	0.958325	0.3125	1	0.25	0.92855
95	chr3	4714353	4714602	0.1666666667	0.5			0.3333333333	0.3333333333		0.4166666667	0.3889	0.6666666667	0.5333333333	0.6944333333	0.5654666667	0.3333333333	0.5333333333	0.3333333333	0.5079333333	0.1890333333	0.6666666667		0.4027666667	0.5310666667
96	chr3	8435585	8435862	0	0.16666	0.6621777778	0	0.0625		0	0.8148111111	0	0.6296333333	0		0.6178444444	0	0.5000111111	0	0	0.6	0	0.0625	0	0.6594666667
97	chr3	10182429	10182821	1	0.875	1	1	0.81666	1	1	0.86668	0.925	0.96666	1	0.9	1	1	0.98	0.88666	0.97142	1	0.96666	0.83	0.96666	0.95064
98	chr3	10992184	10992234	0.875	1	1	0.908325	1	1	1	1	0.583325	1	0.958325	1	0.825	1	1	1	0.833325	1	0.977275	0.9375	1	1
99	chr3	12403777	12403898	0		1	0.4722166667	0.75	1	1	1	1	1	0.5	0.5861166667	0.9205166667	0.8511833333	0.9791666667	0.3416666667	0.4087166667	1	0.7944333333	0.8333333333	0.4166666667	0.96065
100	chr3	12956665	12957156	0.8125125		1	0.9508875	0.9583375	0.9375	1	0.96875	1	0.9270875	1	0.9583375	0.975	0.975	0.9543625	0.5583375	1	1	1	1	1	0.97475
101	chr3	13264285	13264323	0.5555666667	1	1	1	1	1	1	1	1	1	1	0.8333333333	1	1	0.9166666667	1	1	1	1	1	0.9583333333	0.9086
102	chr3	20085223	20085507	0.7	0	1	0.2777666667	0.75	1	0.9	0.91666	0.935	0.96	0.11192	1	0.7804	0.3	0.97142	0.6	0.16	0.92728	0.38334	1	0.2781	0.98462
103	chr3	45672743	45672917		0.5	0.3523666667	0.1875	0.125	0.416675	0.25	0.40475	0.125	0.4	0.2375	0.375	0.431825	0.241675	0.354175	0	0.2778	0.339275	0.341675	0	0.5	0.2861
104	chr3	50621923	50621977	0.8889	0.5	0.8333333333	0.6666666667	0.6666666667	0.7063333333	0.9333333333	0.9333333333	0.7777666667	0.8888666667	0.8	0.8889	0.9487333333	0.7361	1	0.6111	0.4444333333	0.832	0.7222	1	0.5793666667	0.8956333333
105	chr3	58148103	58148369	0.3333333333		1	0.68334	1	0.91	1	1	0.93334	1	0.96666	1	0.97778	1	0.96	0.875	1	0.935	0.92142	0.96	0.76668	0.93544
106	chr3	58215877	58216366	0.9	0.5	0.81167	0.4333375	0.6	0.715	0.225	0.74	0.7875	0.8240777778	0.25	0.5555444444	0.68658	0.21666	0.7407444444	0.43334	0.22833	0.72243	0.30578	0.4555555556	0.14167	0.77663
107	chr3	72863163	72863385	0.625	0.31666		0.33332	0.5555666667	0.6	0.16666	0.95	0.46666	0.78334	0.32334	0.49048	0.92906	0.61668	0.78668	0.34668	0.465	0.86834	0.45	0.3	0.38462	0.78632
108	chr3	96629830	96629989	0.75	0.875	1	0.666675	0.866675	0.7	1	0.85	0.8889	0.95	1	0.958325	0.88195	1	0.922225	0.8875	0.851175	0.95455	1	1	0.77975	0.910525
109	chr3	127487144	127487420	0.5075727273	0.5333333333	0.3030272727	0.2013916667	0.4583333333	0.2142857143	0.347225	0.51667	0.5606090909	0.4166666667	0.25	0.2777777778	0.4453333333	0.30555	0.478475	0.3	0.45635	0.4093090909	0.127775	0.375	0.1874416667	0.5197142857
110	chr3	129026744	129026811	0.3125	0.6666666667	1	0.125	1	0.3333333333	0	1	0.425	1	0	0.348225	1	0.145825	1	0.499975	0.18335	0.980775	0.1125	0.666675	0.07145	0.979175
111	chr3	129099891	129100215	0.16666	0.6	1	0.3	0.86668	0.95		1	0.95	1	0	0.5	0.975	0.48334	0.93334	0.34	0.25	0.94642	0.06666	0.89334	0.25714	1
112	chr3	130277119	130277344	0.8888888889	1	1	0.89667	0.64667	1	1	1	0.96904	0.98333	0.975	1	0.9321	1	0.94642	0.96333	0.9	0.9875	0.95833	0.96667	0.95	0.95417
113	chr3	131969907	131970193	0.6	0.73334	0.7040714286	0.3333333333	0.5	0.8452428571	0.6666666667	0.8292428571	1	0.3809571429	0.08332857143	0.2238142857	0.8528428571	0.7381	0.8553857143	0	0.03571428571	0.8261857143	0.5904857143	0.94445	0.1005714286	0.9301571429
114	chr3	136488048	136488120			0.85	0.2		0	0.3333333333	0.8611	0.4444333333	0.8666666667	0	0	0.6444333333	0	1	0	0.04763333333	1	0		0.06666666667	0.8857
115	chr3	144174135	144174319	0.4	0.5	0.9166666667	0.2	0.8333333333		1	0.86666	0.625	0.7648666667	0.5416666667	0.7	0.8754166667	0.68055	0.8611	0.2638833333	0.3523833333	0.7388833333	0.7514	0.9166666667	0.4999833333	0.9166666667
116	chr3	157027394	157027442	0.25	0		0			0	0	0	0.249975	0	0	0.041675	0	0.05555	0	0.035725	0	0	0	0.041675	0.0827
117	chr3	196731540	196731672	0.7222333333	1	0.6666666667	0.6666666667	0.7777666667	0.9166666667	1	1	0.9166666667	1	0.8333333333	0.7333333333	0.8889	1	0.9333333333	0.5555666667	1	0.9213	0.3333333333	1	0.6785666667	0.9722333333
118	chr3	197236049	197236289	0.6666666667	1	1	0.9166666667	0.8889	1	1	0.8889	0.9107	1	0.85	1	0.8889	0.9166666667	1	0.85	0.8194333333	0.9466	1	0.6666666667	1	0.9363666667
119	chr4	2362990	2363112	0.3333333333		1				0.6666666667	0.9047666667	0.9333333333	0.9444333333	0.6111	0.5	0.8624666667	0.7	1	0.08333333333	0.3	0.9333333333	0.3611	0.8889	0.1666666667	0.9697
